fecha,precio_real,pronostico
2017-06-23,67.24148433333333,65.28848218088164
2017-06-24,65.88230399999999,64.34736516423197
2017-06-25,67.085321,64.49981601017915
2017-06-26,68.11741433333333,66.18776799318846
2017-06-27,69.86352133333334,66.48068927981012
2017-06-28,67.32413133333334,68.68698331349498
2017-06-29,66.26022333333334,65.92197863647586
2017-06-30,66.18605699999999,63.507137356925064
2017-07-01,66.08043266666665,64.76075587973888
2017-07-02,64.67343966666668,64.56051370522974
2017-07-03,64.502807,63.672150049668105
2017-07-04,66.11115466666666,65.08265804832668
2017-07-05,64.90935133333333,64.25207070088477
2017-07-06,65.684378,62.97183980893234
2017-07-07,66.397623,63.559633728243384
2017-07-08,65.128314,63.40392949524726
2017-07-09,67.10649566666667,63.5431930784743
2017-07-10,74.43969566666665,65.51506987115901
2017-07-11,74.58710333333333,70.765225884193
2017-07-12,66.23619000000001,73.76728371144303
2017-07-13,71.084041,67.66095582555549
2017-07-14,71.184961,68.05968765717523
2017-07-15,64.68149233333332,69.42559618386767
2017-07-16,66.19692833333333,65.63538148312703
2017-07-17,69.828546,66.05159663177193
2017-07-18,83.24523666666667,67.81468870996102
2017-07-19,87.24203533333333,77.74343418119854
2017-07-20,68.04210933333333,84.13159798344472
2017-07-21,73.79165333333333,71.72035050244918
2017-07-22,65.68087733333333,72.22183355218901
2017-07-23,65.20172133333334,66.55628382179003
2017-07-24,70.77292,66.2243165958965
2017-07-25,77.04400299999999,69.25383724326522
2017-07-26,72.215283,74.11340741298363
2017-07-27,78.90485333333334,70.82572996554181
2017-07-28,83.09043366666667,75.39575267355139
2017-07-29,72.491247,79.07704376101995
2017-07-30,71.758797,74.82688421243395
2017-07-31,70.41210966666667,72.86045112006889
2017-08-01,93.92654066666668,71.027920605146
2017-08-02,79.31393233333334,86.60916313397426
2017-08-03,81.083259,79.74726827505786
2017-08-04,67.68047933333334,80.34038339637816
2017-08-05,64.763993,68.85349483969947
2017-08-06,64.343773,65.32975538237167
2017-08-07,65.99661666666667,65.40461972045337
2017-08-08,70.64557433333333,67.70803099857129
2017-08-09,68.110483,66.78351384871462
2017-08-10,68.297866,66.5303439486812
2017-08-11,66.00576033333333,64.02184768176075
2017-08-12,69.036391,61.76472328338339
2017-08-13,68.65192133333333,65.39698719836245
2017-08-14,79.24516799999999,68.40106749432442
2017-08-15,85.64970666666666,76.33578123418508
2017-08-16,73.98132033333333,83.3200391366961
2017-08-17,79.784457,74.2959436764915
2017-08-18,97.04370033333332,75.62869498606901
2017-08-19,110.759941,90.3003876110663
2017-08-20,98.504147,105.09015334616466
2017-08-21,107.28717233333332,102.87382915703802
2017-08-22,106.52369166666666,108.02080280108672
2017-08-23,108.341109,106.86317056908369
2017-08-24,116.31233533333334,108.90984436341782
2017-08-25,113.66643933333334,116.39839348285606
2017-08-26,114.76938166666667,115.75023955265414
2017-08-27,113.028043,115.68241463310079
2017-08-28,127.261932,115.65186714848451
2017-08-29,134.052757,126.90367132969882
2017-08-30,138.54440333333335,134.45799708689935
2017-08-31,137.150316,139.80402710046252
2017-09-01,143.966866,140.43658608058294
2017-09-02,140.88931233333332,143.71465929201614
2017-09-03,138.26085366666666,143.83583755974948
2017-09-04,140.795393,144.0029507790707
2017-09-05,136.67395633333334,144.035580218706
2017-09-06,139.78011899999998,141.20818058883037
2017-09-07,133.07375633333334,142.61454175619588
2017-09-08,139.25332733333337,137.21604662220275
2017-09-09,124.23456433333332,139.65932484083365
2017-09-10,126.369921,129.74718655797847
2017-09-11,130.47855,128.12409132760962
2017-09-12,124.24087333333334,129.62918405319638
2017-09-13,128.52422099999998,125.0190447457577
2017-09-14,133.75898766666668,125.74806637204553
2017-09-15,114.14744333333334,131.51575834356066
2017-09-16,116.79507366666668,117.69941997897543
2017-09-17,113.190416,115.95144487780094
2017-09-18,122.36738733333334,111.50719282919707
2017-09-19,102.12831066666666,119.37939344080974
2017-09-20,112.92267599999998,104.55881717053599
2017-09-21,123.869729,109.92198773552515
2017-09-22,119.98676233333332,115.48138714862297
2017-09-23,123.17201033333332,115.99093725311877
2017-09-24,113.733564,118.99711893597812
2017-09-25,112.21035833333332,113.73855369152963
2017-09-26,116.033576,110.24594743895695
2017-09-27,111.604996,114.04055467440378
2017-09-28,131.83143766666666,110.41809204446908
2017-09-29,109.15605966666668,123.92256172817096
2017-09-30,106.200726,111.11300644640242
2017-10-01,106.23805933333334,105.81693574101979
2017-10-02,115.911177,102.51397828744241
2017-10-03,115.40784133333334,111.22944752256913
2017-10-04,119.14000266666666,114.41889814493065
2017-10-05,128.51020866666667,116.8521387771654
2017-10-06,114.750985,121.97273813156252
2017-10-07,125.742556,114.42297116822533
2017-10-08,115.74409733333334,119.88679254806472
2017-10-09,122.987741,116.38640215732823
2017-10-10,120.18159933333334,121.70334308472447
2017-10-11,125.198774,120.75629593562148
2017-10-12,126.065516,124.90249419349
2017-10-13,134.13793166666667,123.1885316137708
2017-10-14,124.505846,130.28046108865436
2017-10-15,125.34577566666668,124.81667544762978
2017-10-16,123.565961,126.2144917919738
2017-10-17,138.00487633333333,122.3641827349479
2017-10-18,153.34033133333335,135.09961620303474
2017-10-19,151.799721,149.47773236965375
2017-10-20,157.1142573333333,151.94088717872853
2017-10-21,171.44291866666666,155.80740106357553
2017-10-22,155.991737,168.2139074670026
2017-10-23,166.69831633333334,159.88167298952274
2017-10-24,167.43245366666665,170.8102086748821
2017-10-25,168.776911,171.54950833398658
2017-10-26,173.11682333333331,173.82936635319658
2017-10-27,166.36420866666666,176.27672067015848
